p:x0,p:x1,p:x2,p:x3,p:x4,p:x5,p:x6,p:x7,objective,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
0.6086689181258461,0.12243843393965662,0.2241800896994634,0.25087050926512205,0.5823082278345594,0.3712408962083312,0.36446317035937464,0.16742701578541244,"[-459.15237132195625, -89.41202196596745, -662.6301027740448]",3,0.08724617958068848,0.0876305103302002,1682460678.8109245,1682460678.8110137
0.32059263061054005,0.3025373490513476,0.015227126054081944,0.49431111762921465,0.6625666965902085,0.5458696626634232,0.08787552175422454,0.3059331876849835,"[-388.14408299239454, -199.7219026215811, -240.5051601458019]",0,0.08721327781677246,0.08757519721984863,1682460678.8108842,1682460678.8109708
0.8456577393245307,0.6508748822433853,0.7592666805716723,0.23852396300365303,0.052936306973994665,0.984140267632659,0.5506118652996206,0.4554768587131106,"[-132.05386158338624, -216.1585491318711, -1024.257554398451]",1,0.08725833892822266,0.08759784698486328,1682460678.8109293,1682460678.8110173
0.06789977989689312,0.9087428101109326,0.9212581102600096,0.37028308743999067,0.9456088217454556,0.2695201081935273,0.00184923913523738,0.25436644098493194,"[-114.95127867251796, -796.4120737893844, -86.14986690171753]",2,0.0872495174407959,0.08758902549743652,1682460678.810921,1682460678.8110082
0.9814553207417144,0.570842935728006,0.7905413355165045,0.15833565854595869,0.3177947803560926,0.15500882249503614,0.5721991862425971,0.0027629034266145607,"[-11.557059024226527, -14.46477648058168, -635.4119917947681]",11,0.1469871997833252,0.14725422859191895,1682460678.8706534,1682460678.870719
0.6255911724568975,0.2517151910149977,0.9640299196020956,0.8097251261359745,0.792748624722509,0.42257177803670465,0.16957745840520713,0.7363954482702288,"[-324.3726625634784, -135.38457508523032, -527.1038634649609]",10,0.14546871185302734,0.14572620391845703,1682460678.8691325,1682460678.8692007
0.8869047695891649,0.6315608994160695,0.7232260303129306,0.10964871192101268,0.5228266114931989,0.7349846220605356,0.29330561181548315,0.5893788768496347,"[-39.999402741675766, -61.21985320169815, -407.30683665287046]",4,0.09441542625427246,0.09474468231201172,1682460678.818084,1682460678.8181665
0.5531883796818501,0.8499336070266202,0.9877199205403376,0.9749743588560836,0.08715148603850588,0.1524775762342079,0.9127889185404744,0.08344618811533001,"[-82.77458396181983, -344.6226194682135, -419.21053213888706]",5,0.09442949295043944,0.0947718620300293,1682460678.8181002,1682460678.8181868
0.46084818429445873,0.9870631097916268,0.911469344175572,0.11953726329938232,0.5792553288557467,0.12382380964956644,0.26276693585904903,0.5576630664051256,"[-10.180367734903648, -500.90331941897375, -442.88459371697707]",6,0.09442949295043944,0.09476709365844728,1682460678.8181,1682460678.8181832
0.8445958238744288,0.08358937895878506,0.9884721423371812,0.996387188386978,0.04042185069821314,0.5237517449589222,0.9688120143296982,0.4688141975404069,"[-160.73654004620423, -21.227138449723213, -650.9358008656627]",7,0.09441637992858888,0.094743013381958,1682460678.8180864,1682460678.8181703
0.40381298466820514,0.7238136183999824,0.4809838963241837,0.6062210088106311,0.1725958171977711,0.4107899997719264,0.7936926759087657,0.9881629400717968,"[-97.60712866285505, -210.6926308372261, -170.8400423971784]",8,0.14528465270996094,0.14552640914916992,1682460678.868947,1682460678.8690047
